province,type_property,property_url,property_id,subtype_property,type_of_contract,postal_code,city
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe35582,vbe35582,apartment,sale,1050,elsene
brussels,Apartment,https://immovlan.be/en/detail/studio/for-sale/1040/etterbeek/vbe35576,vbe35576,studio,sale,1040,etterbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe35573,vbe35573,apartment,sale,1030,schaarbeek
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1150/sint-pieters-woluwe/vbe35572,vbe35572,residence,sale,1150,sint-pieters-woluwe
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/vbe35562,vbe35562,residence,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbe35561,vbe35561,apartment,sale,1180,ukkel
brussels,House,https://immovlan.be/en/detail/villa/for-sale/1180/ukkel/vbe35560,vbe35560,villa,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/ground-floor/for-sale/1180/ukkel/vbe35558,vbe35558,ground-floor,sale,1180,ukkel
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbe35556,vbe35556,residence,sale,1020,laken
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbe35554,vbe35554,apartment,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1060/sint-gillis/vbe35549,vbe35549,apartment,sale,1060,sint-gillis
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbe35542,vbe35542,apartment,sale,1200,sint-lambrechts-woluwe
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbe35541,vbe35541,apartment,sale,1080,sint-jans-molenbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbe35540,vbe35540,apartment,sale,1090,jette
brussels,House,https://immovlan.be/en/detail/master-house/for-sale/1040/etterbeek/vbe35533,vbe35533,master-house,sale,1040,etterbeek
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/vbe35524,vbe35524,residence,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbe35523,vbe35523,apartment,sale,1160,oudergem
brussels,House,https://immovlan.be/en/detail/mixed-building/for-sale/1030/schaarbeek/vbe35522,vbe35522,mixed-building,sale,1030,schaarbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbe35520,vbe35520,apartment,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1082/berchem-sainte-agathe/vbe35507,vbe35507,apartment,sale,1082,berchem-sainte-agathe
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbe35504,vbe35504,apartment,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbe35503,vbe35503,apartment,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1082/berchem-sainte-agathe/vbe35501,vbe35501,apartment,sale,1082,berchem-sainte-agathe
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1160/oudergem/vbe35500,vbe35500,residence,sale,1160,oudergem
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1050/elsene/vbe35499,vbe35499,residence,sale,1050,elsene
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1070/anderlecht/vbe35498,vbe35498,residence,sale,1070,anderlecht
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbe35490,vbe35490,residence,sale,1000,brussels
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1210/sint-joost-ten-node/vbe35488,vbe35488,residence,sale,1210,sint-joost-ten-node
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbe35487,vbe35487,apartment,sale,1020,laken
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbe35485,vbe35485,apartment,sale,1090,jette
brussels,House,https://immovlan.be/en/detail/villa/for-sale/1070/anderlecht/vbe35484,vbe35484,villa,sale,1070,anderlecht
brussels,Apartment,https://immovlan.be/en/detail/studio/for-sale/1190/vorst/vbe35475,vbe35475,studio,sale,1190,vorst
brussels,House,https://immovlan.be/en/detail/mixed-building/for-sale/1090/jette/vbe35474,vbe35474,mixed-building,sale,1090,jette
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe35471,vbe35471,apartment,sale,1000,brussels
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1081/koekelberg/vbe35439,vbe35439,apartment,sale,1081,koekelberg
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbe35435,vbe35435,apartment,sale,1030,schaarbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/rwc42806,rwc42806,apartment,sale,1140,evere
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1160/oudergem/vbe35426,vbe35426,residence,sale,1160,oudergem
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1170/watermaal-bosvoorde/vbe35418,vbe35418,apartment,sale,1170,watermaal-bosvoorde
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbe35417,vbe35417,apartment,sale,1200,sint-lambrechts-woluwe
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbe35413,vbe35413,apartment,sale,1180,ukkel
brussels,Apartment,https://immovlan.be/en/detail/penthouse/for-sale/1050/elsene/vbe35411,vbe35411,penthouse,sale,1050,elsene
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbe35409,vbe35409,apartment,sale,1200,sint-lambrechts-woluwe
brussels,House,https://immovlan.be/en/detail/mixed-building/for-sale/1040/etterbeek/vbe35398,vbe35398,mixed-building,sale,1040,etterbeek
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe35392,vbe35392,apartment,sale,1000,brussels
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe35391,vbe35391,apartment,sale,1050,elsene
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe35389,vbe35389,apartment,sale,1050,elsene
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe35388,vbe35388,apartment,sale,1000,brussels
brussels,House,https://immovlan.be/en/detail/residence/for-sale/1060/sint-gillis/vbe35387,vbe35387,residence,sale,1060,sint-gillis
brussels,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbe35377,vbe35377,apartment,sale,1070,anderlecht
